"store";"websites";"attribute_set";"type";"category_ids";"sku";"has_options";"name";"meta_title";"meta_description";"image";"small_image";"thumbnail";"url_key";"url_path";"custom_design";"page_layout";"options_container";"image_label";"small_image_label";"thumbnail_label";"country_of_manufacture";"msrp_enabled";"msrp_display_actual_price_type";"gift_message_available";"categoria_ropa_interior";"ean_ropa_interior";"grupo_ropa_interior";"referencia_ropa_interior";"talla_ropa_interior";"posicion_arancelaria";"composicion_ropa_interior";"price";"special_price";"weight";"msrp";"color";"status";"is_recurring";"visibility";"tax_class_id";"description";"short_description";"meta_keyword";"custom_layout_update";"special_from_date";"special_to_date";"news_from_date";"news_to_date";"custom_design_from";"custom_design_to";"qty";"min_qty";"use_config_min_qty";"is_qty_decimal";"backorders";"use_config_backorders";"min_sale_qty";"use_config_min_sale_qty";"max_sale_qty";"use_config_max_sale_qty";"is_in_stock";"low_stock_date";"notify_stock_qty";"use_config_notify_stock_qty";"manage_stock";"use_config_manage_stock";"stock_status_changed_auto";"use_config_qty_increments";"qty_increments";"use_config_enable_qty_inc";"enable_qty_increments";"is_decimal_divided";"stock_status_changed_automatically";"use_config_enable_qty_increments";"product_name";"store_id";"product_type_id";"product_status_changed";"product_changed_websites"
"admin";"base";"Ropa interior";"simple";"7,9,17";"7702964142903";"0";"Brasier Blanco 42903";"";"";"/7/7/7702964142903.jpg";"/7/7/7702964142903.jpg";"/7/7/7702964142903.jpg";"brasier-blanco-42903";"brasier-blanco-42903.html";"";"No layout updates";"Product Info Column";"";"";"";" ";"Use config";"Use config";"No";"Romántica";"7702964142903";"1";"11220";"34";"62.12.10.00.00";"90% NAILON 10% ELASTANO";"10.0000";"";"0.0000";"";"Blanco";"Enabled";"No";"Catalog, Search";"None";"Brasier blanco";"Brasier blanco";"";"";"";"";"";"";"";"";"20.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Brasier Blanco 42903";"0";"simple";"";""
"admin";"base";"Ropa interior";"simple";"7,9,17";"7702964142910";"0";"Brasier blanco 42910";"";"";"/7/7/7702964142910.jpg";"/7/7/7702964142910.jpg";"/7/7/7702964142910.jpg";"brasier-blanco-42910";"brasier-blanco-42910.html";"";"No layout updates";"Product Info Column";"";"";"";" ";"Use config";"Use config";"No";"Romántica";"7702964142910";"1";"11220";"36";"62.12.10.00.00";"90% NAILON 10% ELASTANO";"10.0000";"";"0.0000";"";"Blanco";"Enabled";"No";"Catalog, Search";"None";"Brasier blanco";"Brasier blanco";"";"";"";"";"";"";"";"";"10.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Brasier blanco 42910";"0";"simple";"";""
"admin";"base";"Ropa interior";"simple";"7,9,17";"7702964142927";"0";"Brasier blanco 42927";"";"";"/7/7/7702964142927.jpg";"/7/7/7702964142927.jpg";"/7/7/7702964142927.jpg";"brasier-blanco-42927";"brasier-blanco-42927.html";"";"No layout updates";"Product Info Column";"";"";"";" ";"Use config";"Use config";"No";"Romántica";"7702964142927";"1";"11220";"38";"62.12.10.00.00";"90% NAILON 10% ELASTANO";"12.0000";"";"0.0000";"";"Blanco";"Enabled";"No";"Catalog, Search";"None";"Brasier blanco";"Brasier blanco";"";"";"";"";"";"";"";"";"10.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Brasier blanco 42927";"0";"simple";"";""
"admin";"base";"Ropa interior";"simple";"7,9,17";"7702964142934";"0";"Brasier blanco 42934";"";"";"/7/7/7702964142934.jpg";"/7/7/7702964142934.jpg";"/7/7/7702964142934.jpg";"brasier-blanco-42934";"brasier-blanco-42934.html";"";"No layout updates";"Product Info Column";"";"";"";" ";"Use config";"Use config";"No";"Romántica";"7702964142934";"1";"11220";"40";"62.12.10.00.00";"90% NAILON 10% ELASTANO";"15.0000";"";"0.0000";"";"Blanco";"Enabled";"No";"Catalog, Search";"None";"Brasier blanco";"Brasier blanco";"";"";"";"";"";"";"";"";"10.0000";"0.0000";"1";"0";"0";"1";"1.0000";"1";"0.0000";"1";"1";"";"";"1";"0";"1";"0";"1";"0.0000";"1";"0";"0";"0";"1";"Brasier blanco 42934";"0";"simple";"";""
